A,B,C,D,E
118145008|Christopher George|09460659|318384|176464|1|100101043233|osgb1000027219583|6|5801664|3|71.5|20, Queens Arcade Shopping Centre, Queen Street|City Centre|Cardiff|South Glamorgan|CF10 2BY|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,
181113726|Pink Boutique & Tailors|02100776|317632|175739.5|1|10096551796|osgb1000027170411|5|5800401|1|13.3|32|Clare Road|Grangetown, Cardiff|South Glamorgan|CF11 6RS|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
133929753|Ananya Thai Massage Treatments|05280345|317376|178917|1|100100037990|osgb1000027180636|4|5802128|1|16.6|91|Whitchurch Road|Gabalfa, Cardiff|South Glamorgan|CF14 3JP|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
124106988|Black Plaque No. 12264|03200269|316060|179670|1|10023549657|osgb1000000276929885|4|5805171|3|7.6|The Philog|Whitchurch|Cardiff|South Glamorgan|CF14|Caerdydd - Cardiff||openplaques.org/plaques/12264||Plaque Type|Black|Open Plaques|2024-12-01,,,,
145675612|St Dyfrig & St Samson Church|06340459|317856|175464|1|200002932211|osgb1000027173094|6|5801579|3|14.6|Dinas Place||Grangetown, Cardiff|South Glamorgan|CF11 6QJ|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145675628|Llanrumney Community Church|06340459|321602.5|180324.6|1|10090717759|osgb1000027322161|6|5800091|2|19.3|Ball Road|Llanrumney|Cardiff|South Glamorgan|CF3 4BX|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,,
145672440|Trinity Methodist Church|06340459|319534|177026|1|200001850810|osgb1000027258196|3|5801607|3|24.7|Four Elms Road||Adamsdown, Cardiff|South Glamorgan|CF24 1LE|Caerdydd - Cardiff||||Religion|Methodism (Christian)|Ordnance Survey|2024-12-01,,,
124108453|Simon Insole Slate Plaque|03200269|316662|175728|4||Not Assigned|0|5801783|3|14.2|Sloper Road||Cardiff|South Glamorgan|CF11|Caerdydd - Cardiff||openplaques.org/plaques/28293||Plaque Type|Slate|Open Plaques|2024-12-01,,,,
145665802|St Mary's Church|06340459|312117|177222|1|10008903789|osgb1000026985395|4|5800848|3|24|Crofft-y-Genau Road||St Fagans, Cardiff|South Glamorgan|CF5 6EL|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
129889021|Birt Acres Film Cell Plaque|03200269|318136|177064|1|10008904989|osgb1000000277434151|5|5801429|3|60.4|Cathays Park||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/40738||Plaque Type|Film Cell|Open Plaques|2024-12-01,,,,
129889022|Film Cell Plaque No. 40739|03200269|318428|176535|1|10002530672|osgb1000027218275|3|5801664|3|8.5|Queen Street||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/40739||Plaque Type|Film Cell|Open Plaques|2024-12-01,,,,
127054932|Brushed Metal Plaque No. 39861|03200269|318287|176507|1|10002530679|osgb1000027218287|6|5801664|3|10.5|Queen Street||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39861||Plaque Type|Brushed Metal|Open Plaques|2024-12-01,,,,
127054933|Bronze Plaque No. 39860|03200269|318326|176517|1||osgb1000027218541|5|5801664|3|9.3|Queens Chambers-Queen Street||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39860||Plaque Type|Bronze|Open Plaques|2024-12-01,,,,
127054934|Blue Plaque No. 39858|03200269|318341|176543|1|10090716205|osgb1000000277385111|96|5801664|3|13.4|Queen Street||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39858||Plaque Type|Blue|Open Plaques|2024-12-01,,,,
127054935|Elizabeth II Slate Plaque|03200269|318179|176321|1|10008904795|osgb1000027219522|10|5801856|3|11.9|National Museum Cardiff-Gorsedd Gardens Road||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39855||Plaque Type|Slate|Open Plaques|2024-12-01,,,,
127054936|Elizabeth II Slate Plaque|03200269|318356|176975|1|10002530538|osgb1000027218459|12|5805154|3|48.3|National Museum Cardiff-Gorsedd Gardens Road||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39854||Plaque Type|Slate|Open Plaques|2024-12-01,,,,
127054937|Cardiff Castle Black Plaque|03200269|318109|176486|1||osgb1000000277143097|23|5803646|3|15.7|Cardiff Castle-Duke Street||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39852||Plaque Type|Black|Open Plaques|2024-12-01,,,,
127054938|Bronze Plaque No. 39850|03200269|318169|176333|1|10002531268|osgb1000027219330|8|5801856|3|13.4|St Mary Street||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39850||Plaque Type|Bronze|Open Plaques|2024-12-01,,,,
127054939|Blue Plaque No. 39849|03200269|318179|176321|1|10008904795|osgb1000027219522|10|5801856|3|11.9|St Mary Street||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39849||Plaque Type|Blue|Open Plaques|2024-12-01,,,,
127054940|Golate Blue Plaque|03200269|318235|176222|1|100101053868|osgb1000027218921|5|5802562|2|5.7|Golate y Gwter||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39848||Plaque Type|Blue|Open Plaques|2024-12-01,,,,
127054941|Town Hall, Cardiff Blue Plaque|03200269|318193|176281|1||osgb1000027219521|5|5802586|3|10.2|Hodge House-Guildhall Place||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39847||Plaque Type|Blue|Open Plaques|2024-12-01,,,
127054942|William Watkiss, Wood Street Congregational Church, Cardiff, and W. Spurgeon Blue Plaque|03200269|318234|176070|1|100100890088|osgb1000027218861|7|5802169|3|16.5|South Gate House|Wood Street|Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39843||Plaque Type|Blue|Open Plaques|2024-12-01,
127054943|Cambrian Hotel, Cardiff, Samuel Arthur Brain, and Joseph Benjamin Brain Black Plaque|03200269|318346|176063|1|100100890178|osgb1000027219030|8|5800318|3|6.5|The Cambrian Tap-St Mary Street / Caroline Street||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39842||Plaque Type|Black|Open Plaques|2024-12-01,
127054944|Bronze Plaque No. 39839|03200269|319263|174480|1|10094244831|osgb1000002706009778|48|5802315|3|89|The Pierhead Building-Roald Dahl Plass|Cardiff Bay|Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/39839||Plaque Type|Bronze|Open Plaques|2024-12-01,,,,
165764058|Val Feld Purple Plaque|03200269|319354|174491|4||Not Assigned|0|5800194|3|71.6|The Senedd|Pierhead St|Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/51517||Plaque Type|Purple|Open Plaques|2024-12-01,,,,
127054945|Thomas Parry Jones Blue Plaque|03200269|319244|176646|3||Not Assigned|0|5801405|3|0.3|Moira Terrace||Cardiff|South Glamorgan|CF24|Caerdydd - Cardiff||openplaques.org/plaques/39040||Plaque Type|Blue|Open Plaques|2024-12-01,,,,
127054946|Ianto Jones Blue Plaque|03200269|319156|174437|1||osgb1000002067358870|6|5802315|3|78.5|Mermaid Quay||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/29924||Plaque Type|Blue|Open Plaques|2024-12-01,,,,
127054947|Roald Dahl Black Plaque|03200269|319225|174595|1||osgb1000002067357295|9|5803644|3|42.4|Roald Dahl Plass|Cardiff Bay|Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/4108||Plaque Type|Black|Open Plaques|2024-12-01,,,,
124113549|Roald Dahl Plaque|03200269|315706|177628|3||Not Assigned|0|5801517|2|9.8|Palace Road||Cardiff|South Glamorgan|CF5|Caerdydd - Cardiff||openplaques.org/plaques/1852||Plaque Type|Not Specified|Open Plaques|2024-12-01,,,,
124106720|Black Plaque No. 29993|03200269|318414|176230|4||Not Assigned|0|5803284|3|5.1|Barry Lane|The Hayes|Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/29993||Plaque Type|Black|Open Plaques|2024-12-01,,,,
145674442|Kingdom Hall of Jehovah's Witnesses|06340459|322886|181178|1|10013745638|osgb1000027355354|5|5803657|3|16.5|Newport Road||Old St Mellons, Cardiff|South Glamorgan|CF3 5UE|Caerdydd - Cardiff||www.jw.org/en/||Religion|Jehovah's Witnesses (Christian)|Ordnance Survey|2024-12-01,,,
145668507|The Church of God|06340459|316754|177010.1|1|10023546486|osgb1000027125600|9|5801135|2|10.9|183a|King's Road|Riverside, Cardiff|South Glamorgan|CF11 9DF|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145667933|Cardiff City Church|06340459|319497|177019|1|100100896121|osgb1000027259809|10|5801607|3|10.6|Newport Road||Adamsdown, Cardiff|South Glamorgan|CF24 0DF|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145667945|All Nations Church|06340459|317348|178973|1|100100893385|osgb1000027180757|2|5801750|3|11.6|242|Whitchurch Road|Gabalfa, Cardiff|South Glamorgan|CF14 3ND|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
124109930|John Tripp Black Plaque|03200269|315070|180390|1|100101043739|osgb1000027089180|4|5802052|3|24.6|Public Library, Park Road|Whitchurch|Cardiff|South Glamorgan|CF14|Caerdydd - Cardiff||openplaques.org/plaques/4098||Plaque Type|Black|Open Plaques|2024-12-01,,,
145672647|The Chapel|06340459|318717|176370|1|200002931884|osgb1000027218686|7|5800393|3|21.7|Churchill Way||Cathays, Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145678596|Christadelphian Church|06340459|318418|177061|1|10090489424|osgb1000002067869917|3|5801430|3|14.7|Museum Place||Cathays, Cardiff|South Glamorgan|CF10 3BD|Caerdydd - Cardiff||||Religion|Christadelphians (Christian)|Ordnance Survey|2024-12-01,,,
145679888|St Paul's Church|06340459|317794|174810|1|200002932341|osgb1000027168471|4|5801222|2|27.1|Llanmaes Street||Grangetown, Cardiff|South Glamorgan|CF11 7LR|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145669373|Beulah United Reformed Church|06340459|316023|181071|1|200001485221|osgb1000027139364|2|5805177|3|14.9|Beulah Road||Rhiwbina, Cardiff|South Glamorgan|CF14 6LT|Caerdydd - Cardiff||||Religion|United Reformed Church (Christian)|Ordnance Survey|2024-12-01,,,
124111354|Ivor Novello Blue Plaque|03200269|316237|176610|4||Not Assigned|0|5800521|3|2.9|Cowbridge Road East||Cardiff|South Glamorgan|CF5|Caerdydd - Cardiff||openplaques.org/plaques/8236||Plaque Type|Blue|Open Plaques|2024-12-01,,,,
181271332|Roald Dahl Blue Plaque|03200269|315880|177664|1||osgb1000000276662781|4|5800308|3|6.5|Cumberland Lodge|Cardiff Road|Cardiff|South Glamorgan|CF5|Caerdydd - Cardiff||openplaques.org/plaques/56451||Plaque Type|Blue|Open Plaques|2024-12-01,,,,
181270673|Purple Plaque No. 58436|03200269|316657|177351|4||Not Assigned|0|5803644|3|8.9|239|Cathedral Road|Cardiff|South Glamorgan|CF11|Caerdydd - Cardiff||openplaques.org/plaques/58436||Plaque Type|Purple|Open Plaques|2024-12-01,,,,
144835079|Roald Dahl Blue Plaque|03200269|314674|177868|4||Not Assigned|0|5800708|3|2.4|Ty Gwyn|Fairwater Road|Cardiff|South Glamorgan|CF5|Caerdydd - Cardiff||openplaques.org/plaques/42674||Plaque Type|Blue|Open Plaques|2024-12-01,,,,
181271262|Plaque No. 56295|03200269|318023|176444|4||Not Assigned|0|5803123|3|9.6|19|Castle Street|Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/56295||Plaque Type|Not Supplied|Open Plaques|2024-12-01,,,,
129889145|Film Cell Plaque No. 40827|03200269|316288|180650|1||osgb1000002487446447|3|5802035|3|21.5|Pantbach Road||Rhiwbana|South Glamorgan|CF14|Caerdydd - Cardiff||openplaques.org/plaques/40827||Plaque Type|Film Cell|Open Plaques|2024-12-01,,,,
144835080|Idloes Owen Blue Plaque|03200269|314875|179061|4||Not Assigned|0|5803643|3|2.7|40 Station Road|Llandaff North|Cardiff|South Glamorgan|CF14|Caerdydd - Cardiff||openplaques.org/plaques/42256||Plaque Type|Blue|Open Plaques|2024-12-01,,,,
144835081|Ernest Willows Black Plaque|03200269|319178|174467|4||Not Assigned|0|5802315|3|46.2|||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/42457||Plaque Type|Black|Open Plaques|2024-12-01,,,,
144835082|Blue Plaque No. 42465|03200269|319133|174462|4||Not Assigned|0|5804002|3|56.2|Cardiff Bay||Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/42465||Plaque Type|Blue|Open Plaques|2024-12-01,,,,
158059624|Edgar Leyshon Chappell Blue Plaque|03200269|315905|181077|4||Not Assigned|0|5802193|2|1.7|Y Groes||Rhiwbina, Cardiff|South Glamorgan|CF14|Caerdydd - Cardiff||openplaques.org/plaques/50849||Plaque Type|Blue|Open Plaques|2024-12-01,,,
181270706|Dannie Abse Slate Plaque|03200269|319815|177893|4||Not Assigned|0|5801757|2|8.4|66 Sandringham Road|Roath|Cardiff|South Glamorgan|CF23|Caerdydd - Cardiff||openplaques.org/plaques/57414||Plaque Type|Slate|Open Plaques|2024-12-01,,,,
181270716|Purple Plaque No. 58492|03200269|319291|174623|1|10003566575|osgb1000002487402752|8|5803575|3|75.6|Wales Millennium Centre|Bute Place|Cardiff|South Glamorgan|CF10|Caerdydd - Cardiff||openplaques.org/plaques/58492||Plaque Type|Purple|Open Plaques|2024-12-01,,,,
145669925|St Dyfrig's Church|06340459|322331|180772|1|10008903878|osgb1000027351695|3|5800514|3|35.8|Countisbury Avenue||Llanrumney, Cardiff|South Glamorgan|CF3 5RN|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145673589|Welsh Evangelical Church|06340459|318537|177793|1|200002934212|osgb1000027220301|5|5800887|2|12.9|The Kings Way Hall, 110|Harriet Street|Cathays, Cardiff|South Glamorgan|CF24 4BX|Caerdydd - Cardiff||||Religion|Evangelical (Christian)|Ordnance Survey|2024-12-01,,
145672835|Emmanuel Baptist Church|06340459|315934|178671|1|200002932749|osgb1000027080934|5|5801219|3|30.7|Gabalfa Avenue||Gabalfa, Cardiff|South Glamorgan|CF14 2SH|Caerdydd - Cardiff||||Religion|Baptist (Christian)|Ordnance Survey|2024-12-01,,,
145668922|Madras Taleemul Quaran Severn Road Mosque|06340459|316758|176762|1|10008904664|osgb1000027121314|6|5801768|2|21.4|61-63|Severn Road|Riverside, Cardiff|South Glamorgan|CF11 9EA|Caerdydd - Cardiff||||Religion|Islamic|Ordnance Survey|2024-12-01,,,
145678482|St German's Church|06340459|319587|176822|1|10008903855|osgb1000027252061|5|5801869|3|16.2|Metal Street||Adamsdown, Cardiff|South Glamorgan|CF24 0LA|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145678089|Cardiff Life Church|06340459|320716.7|178605.3|1|10002525446|osgb1000027290864|6|5801085|2|70.5|Ipswich Road||Penylan, Cardiff|South Glamorgan|CF23 9AQ|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145672075|Wayside United Church of Jesus Christ|06340459|317541|177761|1|200002931927|osgb1000027177504|4|5804596|3|21.3|North Road||Cathays, Cardiff|South Glamorgan|CF10 3DX|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145670905|Chapel|06340459|312389|183196|1|200002933174|osgb1000026989368|4|47406050|3|9.6|Cardiff Road|Taffs Well||Mid Glamorgan|CF15 7RE|Rhondda Cynon Taf - Rhondda Cynon Taf||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,,
145669262|United Reformed Church|06340459|313664|176483|1|100100915694|osgb1000027009993|3|5800824|2|30.2|Grand Avenue||Ely, Cardiff|South Glamorgan|CF5 4LE|Caerdydd - Cardiff||||Religion|United Reformed Church (Christian)|Ordnance Survey|2024-12-01,,,
145678546|Splott Road Methodist Church|06340459|320246|176662|1|200002934014|osgb1000027285660|4|5800869|3|17.8|Splott Road||Splott, Cardiff|South Glamorgan|CF24 2JX|Caerdydd - Cardiff||||Religion|Methodism (Christian)|Ordnance Survey|2024-12-01,,,
145667153|Rhiwbina Methodist Church|06340459|315926|181327|1|200002933036|osgb1000027091018|3|5801270|3|17.2|Maes-y-Deri||Rhiwbina, Cardiff|South Glamorgan|CF14 6JJ|Caerdydd - Cardiff||||Religion|Methodism (Christian)|Ordnance Survey|2024-12-01,,,
145678187|Ely Church of the Resurrection|06340459|313262|176338|1|10008903787|osgb1000027010700|2|5800824|2|27.1|Grand Avenue||Ely, Cardiff|South Glamorgan|CF5 4HX|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145674796|St Margaret's Church|06340459|319930|177739|1|10008903810|osgb1000027255556|3|5801848|3|20.4|Waterloo Road||Roath, Cardiff|South Glamorgan|CF23 5AD|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145669752|St Thomas' Church|06340459|316458|180202|1|10008903866|osgb1000027135835|6|5803855|2|16.1|St Thomas Close||Heath, Cardiff|South Glamorgan|CF14 1UE|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145675457|Church of the Resurrection|06340459|323589|181301|1|200002934321|osgb1000027380651|3|5800535|3|23|Crickhowell Road|St. Mellons|Trowbridge, Cardiff|South Glamorgan|CF3 0EF|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145678077|St Andrew's United Reformed Church|06340459|319264|178082|1|10008903872|osgb1000027263135|4|5805156|3|21.4|Wellfield Road||Roath, Cardiff|South Glamorgan|CF24 3PB|Caerdydd - Cardiff||||Religion|United Reformed Church (Christian)|Ordnance Survey|2024-12-01,,,
145678011|Madina Masjid Mosque|06340459|318477.5|178102.4|1|10093729333|osgb5000005174298244|1|5801283|2|10.5|Lucas Street||Cathays, Cardiff|South Glamorgan|CF24 4NZ|Caerdydd - Cardiff||||Religion|Islamic|Ordnance Survey|2024-12-01,,,
145671242|Church of St Timothy|06340459|313956|175692|1|10008903832|osgb1000027005325|6|5802287|3|28.1|Heol Pennar||Caerau, Cardiff|South Glamorgan|CF5 5NX|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145669076|St Saviour's Church|06340459|320142|176707|1|200002934013|osgb1000027285661|3|5800314|3|19.1|Splott Road||Splott, Cardiff|South Glamorgan|CF24 2BW|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145666239|Llanishen Methodist Church|06340459|317953|181781|1|200002932936|osgb1000027187929|3|5801361|2|22.7|Melbourne Road|Llanishen|Cardiff|South Glamorgan|CF14 5NH|Caerdydd - Cardiff||||Religion|Methodism (Christian)|Ordnance Survey|2024-12-01,,,,
145678054|Herman Chapel|06340459|313284|182085|1|10002527266|osgb1000027018613|3|5803712|2|16.3|Queen Street||Tongwynlais, Cardiff|South Glamorgan|CF15 7NL|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145672430|The Chapel|06340459|311572.3|173806.2|1|200001485523|osgb1000026958242|3|41502085|2|16.1|The Chapel, Chapel Terrace|Twyn-yr-Odyn|Twyn-yr-Odyn|South Glamorgan|CF5 6BJ|Bro Morgannwg - the Vale of Glamorgan||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145679726|Our Lady of Lourdes Catholic Church|06340459|315704|178778|1|10008903802|osgb1000027080815|3|5800971|2|24.9|Heol Pencarreg||Gabalfa, Cardiff|South Glamorgan|CF14 2QQ|Caerdydd - Cardiff||||Religion|Roman Catholic (Christian)|Ordnance Survey|2024-12-01,,,
145671779|The Church of God of Prophecy|06340459|317019|176225|1|100100891016|osgb1000027177273|6|5802343|3|13.7|26|Wells Street|Riverside, Cardiff|South Glamorgan|CF11 6DX|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145671161|Bethel Church|06340459|316960.3|182059.6|1|10023550280|osgb1000041957464|5|5801217|3|14.9|Bethel Place||Llanishen, Cardiff|South Glamorgan|CF14 5BJ|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145675733|St Augustine's Parish Church|06340459|321434|179116|1|10008903798|osgb1000027320663|3|5800389|2|37.7|Church Road||Rumney, Cardiff|South Glamorgan|CF3 4FF|Caerdydd - Cardiff||||Religion|Not Identified (Christian)|Ordnance Survey|2024-12-01,,,
145674015|The Salvation Army|06340459|313451|176252|1|100100915690|osgb1000002487151614|2|5800010|2|24.5|Aberthaw Road||Ely, Cardiff|South Glamorgan|CF5 4HB|Caerdydd - Cardiff||www.salvationarmy.org.uk|The Salvation Army|Religion|Salvation Army (Christian)|Ordnance Survey|2024-12-01,,,
145675745|Siloam Baptist Church|06340459|322082|181413|1|10008903875|osgb1000027355918|4|5800254|2|32.2|Burnham Avenue|Llanrumney|Cardiff|South Glamorgan|CF3 5LH|Caerdydd - Cardiff||||Religion|Baptist (Christian)|Ordnance Survey|2024-12-01,,,,
145670463|Cathays Methodist Church|06340459|318342|177982|1||osgb1000027222436|5|5800712|3|15.2|Crwys Road||Cathays, Cardiff|South Glamorgan|CF24 4NE|Caerdydd - Cardiff||||Religion|Methodism (Christian)|Ordnance Survey|2024-12-01,,,
